Date,Home Team,Score,Away Team
09-08-2025,Southampton,2 - 1,Wrexham
04-01-2026,Norwich,0 - 2,Stoke
01-01-2026,Hull,0 - 1,Stoke
29-12-2025,Stoke,1 - 2,Sheffield United
26-12-2025,Stoke,0 - 0,Preston
20-12-2025,Watford,1 - 0,Stoke
13-12-2025,Stoke,2 - 1,Swansea
10-12-2025,Ipswich,1 - 0,Stoke
06-12-2025,Sheffield United,4 - 0,Stoke
29-11-2025,Stoke,1 - 2,Hull
25-11-2025,Stoke,3 - 0,Charlton
22-11-2025,Leicester,2 - 1,Stoke
08-11-2025,Stoke,0 - 1,Coventry
04-11-2025,Oxford,0 - 3,Stoke
01-11-2025,Stoke,5 - 1,Bristol City
25-10-2025,Portsmouth,0 - 1,Stoke
21-10-2025,Millwall,2 - 0,Stoke
18-10-2025,Stoke,1 - 0,Wrexham
04-10-2025,Blackburn,1 - 1,Stoke
30-09-2025,Middlesbrough,0 - 0,Stoke
27-09-2025,Stoke,1 - 1,Norwich
20-09-2025,QPR,1 - 0,Stoke
13-09-2025,Stoke,1 - 0,Birmingham
30-08-2025,Stoke,0 - 1,West Brom
23-08-2025,Southampton,1 - 2,Stoke
16-08-2025,Sheffield Weds,0 - 3,Stoke
09-08-2025,Stoke,3 - 1,Derby
04-01-2026,Millwall,2 - 1,Swansea
01-01-2026,Swansea,1 - 0,West Brom
29-12-2025,Oxford,0 - 1,Swansea
26-12-2025,Coventry,1 - 0,Swansea
19-12-2025,Swansea,2 - 1,Wrexham
13-12-2025,Stoke,2 - 1,Swansea
09-12-2025,Swansea,1 - 0,Portsmouth
06-12-2025,Swansea,2 - 0,Oxford
29-11-2025,West Brom,3 - 2,Swansea
25-11-2025,Swansea,1 - 2,Derby
22-11-2025,Bristol City,3 - 0,Swansea
08-11-2025,Swansea,1 - 4,Ipswich
05-11-2025,Preston,2 - 1,Swansea
01-11-2025,Charlton,1 - 1,Swansea
25-10-2025,Swansea,2 - 1,Norwich
22-10-2025,Swansea,0 - 1,QPR
18-10-2025,Southampton,0 - 0,Swansea
04-10-2025,Swansea,1 - 3,Leicester
30-09-2025,Blackburn,1 - 2,Swansea
27-09-2025,Swansea,1 - 1,Millwall
20-09-2025,Birmingham,1 - 0,Swansea
13-09-2025,Swansea,2 - 2,Hull
30-08-2025,Sheffield Weds,0 - 2,Swansea
23-08-2025,Swansea,1 - 1,Watford
16-08-2025,Swansea,1 - 0,Sheffield United
09-08-2025,Middlesbrough,1 - 0,Swansea
01-01-2026,Watford,3 - 0,Birmingham
29-12-2025,Norwich,0 - 1,Watford
26-12-2025,Leicester,1 - 2,Watford
20-12-2025,Watford,1 - 0,Stoke
13-12-2025,Wrexham,2 - 2,Watford
09-12-2025,Watford,1 - 1,Sheffield Weds
06-12-2025,Watford,3 - 2,Norwich
01-12-2025,Birmingham,2 - 1,Watford
25-11-2025,Watford,1 - 1,Preston
22-11-2025,Derby,2 - 3,Watford
07-11-2025,Watford,1 - 1,Bristol City
04-11-2025,Ipswich,1 - 1,Watford
01-11-2025,Watford,3 - 0,Middlesbrough
25-10-2025,Coventry,3 - 1,Watford
22-10-2025,Watford,2 - 1,West Brom
18-10-2025,Sheffield United,1 - 0,Watford
04-10-2025,Watford,2 - 1,Oxford
01-10-2025,Portsmouth,2 - 2,Watford
27-09-2025,Watford,2 - 1,Hull
22-09-2025,Millwall,1 - 0,Watford
13-09-2025,Watford,0 - 1,Blackburn
30-08-2025,Watford,2 - 2,Southampton
23-08-2025,Swansea,1 - 1,Watford
16-08-2025,Watford,2 - 1,QPR
09-08-2025,Charlton,1 - 0,Watford
05-01-2026,Leicester,2 - 1,West Brom
01-01-2026,Swansea,1 - 0,West Brom
29-12-2025,West Brom,2 - 1,QPR
26-12-2025,West Brom,1 - 2,Bristol City
20-12-2025,Hull,1 - 0,West Brom
12-12-2025,West Brom,2 - 0,Sheffield United
09-12-2025,Southampton,3 - 2,West Brom
06-12-2025,QPR,3 - 1,West Brom
29-11-2025,West Brom,3 - 2,Swansea
26-11-2025,West Brom,1 - 1,Birmingham
22-11-2025,Coventry,3 - 2,West Brom
08-11-2025,West Brom,2 - 1,Oxford
04-11-2025,Charlton,1 - 0,West Brom
01-11-2025,West Brom,0 - 0,Sheffield Weds
25-10-2025,Ipswich,1 - 0,West Brom
22-10-2025,Watford,2 - 1,West Brom
18-10-2025,West Brom,2 - 1,Preston
04-10-2025,Millwall,3 - 0,West Brom
