Title,Author,Runtime,Release Date,Language
Court of Lies and Deceit,By: Marion Blackwood,Length: 11 hrs and 53 mins,Release date: 12-05-25,Language: English
Secret Love Letters,By: Sheri Gomez,Length: 1 hr and 13 mins,Release date: 08-11-25,Language: English
Sweet Vengeance,By: Riley Hart,Length: 9 hrs and 52 mins,Release date: 12-31-25,Language: English
The Scrooge Conspiracy,"By: Anna Elliott, Charles Veley",Length: 10 hrs and 23 mins,Release date: 12-05-25,Language: English
Some Scars Wear Roses,By: Patricia Velazquez,Length: 1 hr and 14 mins,Release date: 08-29-25,Language: English
Deeper21,By: JC Worley,Length: 3 hrs and 42 mins,Release date: 01-02-26,Language: English
We Once Loved So Deeply,By: Terry Aldridge,Length: 1 hr and 17 mins,Release date: 08-07-25,Language: English
The Lantern Story,By: Michelle McCoy Burnet,Length: 1 hr and 27 mins,Release date: 11-14-25,Language: English
A Court of Silver Flames,By: Sarah J. Maas,Length: 26 hrs and 5 mins,Release date: 02-16-21,Language: English
Merry Little Kissmas,By: Lauren Blakely,Length: 13 hrs and 16 mins,Release date: 10-28-25,Language: English
The Great Cleric: Volume 8,"By: Broccoli Lion, Matthew Jackson - translator",Length: 5 hrs and 52 mins,Release date: 01-06-26,Language: English
A Court of Mist and Fury,By: Sarah J. Maas,Length: 23 hrs and 16 mins,Release date: 05-03-16,Language: English
What No One Tells You About Money,By: Jade Warshaw,Length: 6 hrs and 49 mins,Release date: 01-06-26,Language: English
Perfect Little Revenge,By: K.G. Reuss,Length: 12 hrs and 18 mins,Release date: 12-30-25,Language: English
Gold Medal Marine 2: Blood Meteor,"By: J.N. Chaney, Terry Maggert",Length: 10 hrs and 59 mins,Release date: 01-06-26,Language: English
The Grumpiest Billionaire,By: Pippa Grant,Length: 11 hrs and 21 mins,Release date: 01-08-26,Language: English
Dreaux: The Corporate Assassin,By: Nek Mills,Length: 9 hrs and 49 mins,Release date: 12-30-25,Language: English
Bound by Fate,By: Susan Michelle,Length: 1 hr and 13 mins,Release date: 06-10-25,Language: English
"Swipe Right for Ghosts, Part 1",By: Janine LaFrance Walton,Length: 1 hr and 24 mins,Release date: 08-13-25,Language: English
Mage Tank 3,By: Cornman,Length: 23 hrs and 5 mins,Release date: 09-17-25,Language: English
The Primal Hunter 3,By: Zogarth,Length: 18 hrs and 23 mins,Release date: 08-30-22,Language: English
Me and My Demons #2,"By: Oleg Sapphire, Alexey Kovtunov, Liath Gleeson - translator",Length: 9 hrs and 48 mins,Release date: 01-06-26,Language: English
The Hunger Games,By: Suzanne Collins,Length: 10 hrs and 35 mins,Release date: 10-30-18,Language: English
Dark Age,By: Pierce Brown,Length: 33 hrs and 58 mins,Release date: 07-31-19,Language: English
"I, Starship, Part 3",By: Scott Bartlett,Length: 15 hrs and 11 mins,Release date: 12-22-25,Language: English
